model,outcome,event,horizon,beta,block_length,draws,seed,multiplier_se,critical90,critical95,sim90_low,sim90_high,sim95_low,sim95_high
single,lwti,military_conflict,32,-0.0205873655805,1,1999,20260920,0.0676943914232,2.52008509378,2.77957628652,-0.191182992338,0.150008261177,-0.20874909071,0.167574359549
single,lwti,military_conflict,33,-0.0181954279841,1,1999,20260920,0.0691583066111,2.52008509378,2.77957628652,-0.192480245586,0.156089389618,-0.210426217056,0.174035361088
single,lwti,military_conflict,34,0.000681888901103,1,1999,20260920,0.0790478813971,2.52008509378,2.77957628652,-0.198525498703,0.199889276505,-0.21903772773,0.220401505532
single,lwti,military_conflict,35,0.0025300902924,1,1999,20260920,0.0914634244314,2.52008509378,2.77957628652,-0.227965522243,0.233025702828,-0.251699475341,0.256759655925
single,lwti,military_conflict,36,-0.00231802104475,1,1999,20260920,0.096303600192,2.52008509378,2.77957628652,-0.245011288366,0.240375246276,-0.270001224445,0.265365182355
single,lwti,military_conflict,37,0.00227346586108,1,1999,20260920,0.10110698127,2.52008509378,2.77957628652,-0.252524730516,0.257071662238,-0.27876110168,0.283308033402
single,lwti,military_conflict,38,-0.022985925748,1,1999,20260920,0.09637314116,2.52008509378,2.77957628652,-0.265854442226,0.21988259073,-0.290862423573,0.244890572077
single,lwti,military_conflict,39,-0.00388617700505,1,1999,20260920,0.0924397582922,2.52008509378,2.77957628652,-0.23684223395,0.22906987994,-0.260829537085,0.253057183075
single,lwti,military_conflict,40,-1.50769987786e-05,1,1999,20260920,0.0930908845762,2.52008509378,2.77957628652,-0.234612027586,0.234581873588,-0.258768292258,0.25873813826
single,lwti,military_conflict,41,0.0141266543752,1,1999,20260920,0.0927831201227,2.52008509378,2.77957628652,-0.219694703601,0.247948012351,-0.243771106107,0.272024414857
single,lwti,military_conflict,42,0.0266964258508,1,1999,20260920,0.0973469624027,2.52008509378,2.77957628652,-0.218626203025,0.272019054727,-0.243886882408,0.29727973411
single,lwti,military_conflict,43,0.00926314148589,1,1999,20260920,0.101683336824,2.52008509378,2.77957628652,-0.24698751993,0.265513802901,-0.273373450283,0.291899733255
single,lwti,military_conflict,44,0.0212971289441,1,1999,20260920,0.108997156955,2.52008509378,2.77957628652,-0.253384981562,0.295979239451,-0.281668783825,0.324263041714
single,lwti,military_conflict,45,0.0524517704135,1,1999,20260920,0.11025866374,2.52008509378,2.77957628652,-0.225409444538,0.330312985365,-0.254020596702,0.358924137529
single,lwti,military_conflict,46,0.0575927899112,1,1999,20260920,0.107932215724,2.52008509378,2.77957628652,-0.214405578074,0.329591157896,-0.242413037467,0.357598617289
single,lwti,military_conflict,47,0.0395620561419,1,1999,20260920,0.0926122660424,2.52008509378,2.77957628652,-0.193828735013,0.272952847296,-0.21786080239,0.296984914674
single,lwti,military_conflict,48,0.0465391798434,1,1999,20260920,0.084466635508,2.52008509378,2.77957628652,-0.166323929222,0.259402288909,-0.188242277216,0.281320636903
single,lwti,military_conflict,0,0.065124540943,6,1999,20260925,0.0201675419788,2.6154442729,2.87586922455,0.0123774587759,0.11787162311,0.00712532763123,0.123123754255
