model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high,interpretation
single,post_2008,lwti,nuclear_threat,12,212,2008-01-01,2025-08-01,0.0318060740486,HC3,0.681312136494,0.0563457112922,0.572426940807,-0.0608743735335,0.124486521631,-0.0786294907674,0.142241638865,0.0544190357839,0.558906859928,-0.0577052743357,0.121317422433,-0.0748532761612,0.138465424258,Descriptive origin-month split; no independent-subsample difference test
single,pre_2012,lwti,nuclear_threat,12,261,1990-04-01,2011-12-01,0.0875632662375,HC3,0.320690853473,0.0590434323398,0.138066058878,-0.00955453759432,0.184681070069,-0.0281597346722,0.203286267147,0.0531493045084,0.0994561390404,0.000140439946958,0.174986092528,-0.0166074564023,0.191733988877,Descriptive origin-month split; no independent-subsample difference test
single,post_2012,lwti,nuclear_threat,12,164,2012-01-01,2025-08-01,0.0350213645054,HC3,0.738782298978,0.0654021548025,0.592319900693,-0.072555607032,0.142598336043,-0.0931645034188,0.16320723243,0.061282181277,0.567676265024,-0.0657788536357,0.135821582646,-0.0850895036917,0.155132232702,Descriptive origin-month split; no independent-subsample difference test
single,pre_2019,lwti,nuclear_threat,12,345,1990-04-01,2018-12-01,0.0927365323308,HC3,0.256576836281,0.0431101774838,0.0314642265605,0.021826600538,0.163646464124,0.00824213709539,0.177230927566,0.0416923504126,0.0261278840182,0.0241587185385,0.161314346123,0.0110210270913,0.17445203757,Descriptive origin-month split; no independent-subsample difference test
single,post_2019,lwti,nuclear_threat,12,80,2019-01-01,2025-08-01,0.0674514991212,HC3,0.830821655523,0.109405019619,0.537544643333,-0.112503744205,0.247406742447,-0.146978399059,0.281881397301,0.0982401449361,0.492336011596,-0.0941391595891,0.229042157832,-0.12509564679,0.259998645032,Descriptive origin-month split; no independent-subsample difference test
single,pre_2008,lwti,nuclear_threat,24,213,1990-04-01,2007-12-01,0.105874961341,HC3,0.363063643203,0.0478979470624,0.0270754752118,0.0270898493919,0.18466007329,0.0119967101654,0.199753212517,0.0452628002885,0.0193294068472,0.0314242801205,0.180325642562,0.0171615029362,0.194588419746,Descriptive origin-month split; no independent-subsample difference test
single,post_2008,lwti,nuclear_threat,24,200,2008-01-01,2024-08-01,-0.0330160193396,HC3,0.688959316984,0.0465745625978,0.478395703885,-0.109624357552,0.0435923188731,-0.124300484627,0.0582684459478,0.0454856687027,0.467927405733,-0.10783328648,0.0418012478005,-0.12216629181,0.0561342531305,Descriptive origin-month split; no independent-subsample difference test
single,pre_2012,lwti,nuclear_threat,24,261,1990-04-01,2011-12-01,0.114416579748,HC3,0.320690853473,0.0425204439243,0.00712680051389,0.0444766733395,0.184356486156,0.0310780410497,0.197755118446,0.0406097275347,0.0048404041988,0.047619522123,0.181213637373,0.0348229763579,0.194010183138,Descriptive origin-month split; no independent-subsample difference test
single,post_2012,lwti,nuclear_threat,24,152,2012-01-01,2024-08-01,-0.0102888443277,HC3,0.747095375508,0.05084067613,0.839624147798,-0.0939143148568,0.0733366262013,-0.109934738492,0.0893570498367,0.0491904199553,0.834320542705,-0.0911998850024,0.0706221963469,-0.106700295824,0.086122607169,Descriptive origin-month split; no independent-subsample difference test
single,pre_2019,lwti,nuclear_threat,24,345,1990-04-01,2018-12-01,0.112722965942,HC3,0.256576836281,0.0538300966886,0.0362554404385,0.0241803361644,0.201265595719,0.00721791514785,0.218228016736,0.0521641978302,0.030701064149,0.0269204959437,0.19852543594,0.0104830169121,0.214962914971,Descriptive origin-month split; no independent-subsample difference test
