model,outcome,horizon,n,event,sw_conditional_F,conditional_df,residual_df,raw_wald_F_all_instruments,excluded_instruments,endogenous_regressors,covariance_assumption
joint,lwti,39,398,diplomatic_tension,607.254392884,1,381,202.418130961,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,39,398,nuclear_threat,454.814888127,1,381,151.604962709,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,40,397,military_conflict,188.118452993,1,380,62.7061509976,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,40,397,diplomatic_tension,608.572848461,1,380,202.857616154,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,40,397,nuclear_threat,452.742379073,1,380,150.914126358,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,41,396,military_conflict,187.623793267,1,379,62.5412644225,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,41,396,diplomatic_tension,606.373686186,1,379,202.124562062,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,41,396,nuclear_threat,451.539129964,1,379,150.513043321,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,42,395,military_conflict,189.731873893,1,378,63.2439579644,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,42,395,diplomatic_tension,608.588296483,1,378,202.862765494,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,42,395,nuclear_threat,450.585160229,1,378,150.19505341,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,43,394,military_conflict,184.641691962,1,377,61.5472306541,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,43,394,diplomatic_tension,570.962842493,1,377,190.320947498,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,43,394,nuclear_threat,446.966526205,1,377,148.988842068,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,44,393,military_conflict,184.156121719,1,376,61.3853739065,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,44,393,diplomatic_tension,570.101892483,1,376,190.033964161,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,44,393,nuclear_threat,445.209230071,1,376,148.40307669,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,45,392,military_conflict,183.059072248,1,375,61.0196907495,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,45,392,diplomatic_tension,566.213129672,1,375,188.737709891,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,45,392,nuclear_threat,445.514299371,1,375,148.504766457,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,46,391,military_conflict,182.818684263,1,374,60.9395614211,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,46,391,diplomatic_tension,564.522310428,1,374,188.174103476,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,46,391,nuclear_threat,444.089952255,1,374,148.029984085,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,47,390,military_conflict,181.424025733,1,373,60.4746752442,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,47,390,diplomatic_tension,559.764007943,1,373,186.588002648,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,47,390,nuclear_threat,442.031787728,1,373,147.343929243,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,48,389,military_conflict,181.104308648,1,372,60.3681028825,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,48,389,diplomatic_tension,559.146876934,1,372,186.382292311,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,48,389,nuclear_threat,445.520069014,1,372,148.506689671,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,0,432,military_conflict,209.216503187,1,415,69.7388343958,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,0,432,diplomatic_tension,579.680454673,1,415,193.226818224,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,0,432,nuclear_threat,446.031928874,1,415,148.677309625,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,1,432,military_conflict,209.216503187,1,415,69.7388343958,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,1,432,diplomatic_tension,579.680454673,1,415,193.226818224,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,1,432,nuclear_threat,446.031928874,1,415,148.677309625,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,2,432,military_conflict,209.216503187,1,415,69.7388343958,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,2,432,diplomatic_tension,579.680454673,1,415,193.226818224,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,2,432,nuclear_threat,446.031928874,1,415,148.677309625,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,3,432,military_conflict,209.216503187,1,415,69.7388343958,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,3,432,diplomatic_tension,579.680454673,1,415,193.226818224,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,3,432,nuclear_threat,446.031928874,1,415,148.677309625,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,4,432,military_conflict,209.216503187,1,415,69.7388343958,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,4,432,diplomatic_tension,579.680454673,1,415,193.226818224,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,4,432,nuclear_threat,446.031928874,1,415,148.677309625,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,5,432,military_conflict,209.216503187,1,415,69.7388343958,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,5,432,diplomatic_tension,579.680454673,1,415,193.226818224,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,5,432,nuclear_threat,446.031928874,1,415,148.677309625,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,6,431,military_conflict,209.913357094,1,414,69.9711190313,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,6,431,diplomatic_tension,641.532397479,1,414,213.844132493,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,6,431,nuclear_threat,455.275841538,1,414,151.758613846,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,7,430,military_conflict,210.63634851,1,413,70.2121161699,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,7,430,diplomatic_tension,673.921541179,1,413,224.640513726,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,7,430,nuclear_threat,461.864193799,1,413,153.954731266,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,8,429,military_conflict,209.312492239,1,412,69.7708307464,3,3,homoskedastic Sanderson-Windmeijer correction
