model,outcome,horizon,n,events,minimum_canonical_correlation,ar_joint_zero_statistic_hc3,ar_joint_zero_p_value_hc3,maximum_canonical_correlation,canonical_correlation_ratio,first_stage_rank,ar_joint_zero_statistic,ar_df
single,lwti,9,428,civil_war,0.702343546773,0.119055601507,0.730061031422,0.702343546773,1,1,0.163899662676,1
single,lwti,10,427,civil_war,0.702109646751,0.153826256778,0.694905342164,0.702109646751,1,1,0.252624701294,1
single,lwti,11,426,civil_war,0.702350113022,0.187942469441,0.664634627796,0.702350113022,1,1,0.319219521978,1
single,lwti,12,425,civil_war,0.702647948311,0.171760715915,0.678551721089,0.702647948311,1,1,0.327789620285,1
single,lwti,13,424,civil_war,0.702545130134,0.0344346556558,0.852785297466,0.702545130134,1,1,0.0641325400884,1
single,lwti,14,423,civil_war,0.702802007039,0.159685999778,0.689445773729,0.702802007039,1,1,0.239624631165,1
single,lwti,15,422,civil_war,0.703012677354,0.264077125395,0.607332849668,0.703012677354,1,1,0.371638180756,1
single,lwti,16,421,civil_war,0.702751952241,0.775478808309,0.378527457455,0.702751952241,1,1,1.23197596303,1
single,lwti,17,420,civil_war,0.703838176678,0.398937171845,0.527638656575,0.703838176678,1,1,0.667797325269,1
single,lwti,18,419,civil_war,0.70675482385,0.406486334885,0.523758312116,0.70675482385,1,1,0.757945227286,1
single,lwti,19,418,civil_war,0.718380403632,0.57132100134,0.449734462659,0.718380403632,1,1,0.974049996025,1
single,lwti,20,417,civil_war,0.720631988348,0.483663432972,0.486767601282,0.720631988348,1,1,0.976248634405,1
single,lwti,21,416,civil_war,0.696878491731,0.502694970088,0.478318363162,0.696878491731,1,1,1.1180882901,1
single,lwti,22,415,civil_war,0.699593385549,0.330546552702,0.565337435145,0.699593385549,1,1,0.79702280682,1
single,lwti,23,414,civil_war,0.699053650741,0.191684317335,0.661518456527,0.699053650741,1,1,0.440512929307,1
single,lwti,24,413,civil_war,0.698928728953,0.302186318568,0.582515030779,0.698928728953,1,1,0.593258431621,1
single,lwti,25,412,civil_war,0.698556209299,0.322912891506,0.569862340017,0.698556209299,1,1,0.598066983755,1
single,lwti,26,411,civil_war,0.69825469215,0.624362763241,0.429430661054,0.69825469215,1,1,1.28226738456,1
single,lwti,27,410,civil_war,0.698271349238,1.14382623721,0.284845273736,0.698271349238,1,1,2.35660163951,1
single,lwti,28,409,civil_war,0.698373137679,1.63974482934,0.200360482153,0.698373137679,1,1,3.5544941007,1
single,lwti,29,408,civil_war,0.697926017262,0.99119488788,0.319450508726,0.697926017262,1,1,2.53445789609,1
single,lwti,30,407,civil_war,0.698083362991,0.783549634869,0.37605772902,0.698083362991,1,1,1.81079909396,1
single,lwti,31,406,civil_war,0.698088193047,1.04485373265,0.306695302809,0.698088193047,1,1,2.1902357628,1
single,lwti,32,405,civil_war,0.698067991237,1.14001057619,0.285650092727,0.698067991237,1,1,1.96743813983,1
single,lwti,33,404,civil_war,0.698565498679,1.41726347906,0.233854346614,0.698565498679,1,1,2.70044799834,1
single,lwti,34,403,civil_war,0.705659940621,1.42605450349,0.232409426398,0.705659940621,1,1,2.66797518322,1
